OBJECTID,District,Rank,County,Name,Type,Shift,Fwy,Abs_PM,CA_PM,Number_Days_Active,Avg_Extent__Miles_,Total_Delay__veh_hrs_,Direction,Abs_PM_upstream,Shape_Length
74,11,5,SD,5 SB N-O Civic Center Dr,ML,PM,I5-S,10.8,R10.898,52,3.52,65978.8,S,14.32,7171.90771186596
75,11,6,SD,Barham-Woodland to 78 EB,ML,PM,SR78-E,14.82,14.82,51,5.31,62555.4,E,9.51,10219.9466114889
76,11,7,SD,Clairemont Dr EB to 5 SB,ML,PM,I5-S,21.97,R22.082,38,6.63,59510.3,S,28.6,13139.3915733045
77,11,8,SD,163 NB S-O I-8,ML,PM,SR163-N,2.79,3.34,63,2.9,55339.8,N,5.689,5582.96985293764
78,11,9,SD,Twin Oaks Vlly Rd to 78 EB,ML,PM,SR78-E,12.98,12.988,60,3.79,50677.1,E,9.19,7310.54483914138
79,11,10,SD,15 SB S-O Balboa Ave,ML,PM,I15-S,8.83,R8.662,51,2.96,50338.6,S,11.79,5664.90239310113
80,12,1,ORA,LOCATION 5013 NB,ML,PM,I405,12.89,13.122,56,2.97,81086.6,N,9.92,5780.81399356039
81,12,2,ORA,TONNER,ML,PM,SR57,11.27,22,61,1.64,69372.4,N,9.63,3156.451154647
82,12,3,ORA,BROOKHUR1,ML,PM,I405,13.51,13.74,47,3.54,45244.8,N,9.97,6881.59061455802
83,12,4,ORA,LAKEVIEW1,HV,PM,SR91,28.45,R10.08,59,3.19,36292.4,E,25.26,6183.13105244387
84,12,5,ORA,1ST,ML,PM,I5,103.05,30.8,60,0.4,34901.9,N,102.65,361.272777486573
85,12,6,ORA,BROOKHURST2,ML,AM,I405,13.58,13.81,50,4.51,34164.8,S,18.09,8762.85352476889
86,12,7,ORA,MAIN 1,ML,AM,I5,105.19,33,55,0.65,26138.8,S,105.84,1700.55465035774
87,12,8,ORA,TAFT,HV,PM,SR55,15.78,15.8,56,2.98,25228.6,N,12.8,5440.78390024965
88,12,9,ORA,West OF GYPSUM,ML,PM,SR91,34.14,R15.793,61,2.05,24204.7,E,32.09,3960.64144263819
89,12,10,ORA,RED ROBIN,ML,PM,I5,91.53,19.33,62,1.09,23100.1,S,92.62,2529.52313124212
